pmid,rpsid,components_type,rnas,rna_length,rna_sequence,rna_classification,rna_length_num
PMID: 27599198,RNAPS0000071,RNA,polyU,2000-3200nt,-,poly RNA,3200
PMID: 27599198,RNAPS0000071,RNA,polyU,2000-3200nt,-,poly RNA,3200
PMID: 27599198,RNAPS0000071,RNA,polyU,2000-3200nt,-,poly RNA,3200
PMID: 27599198,RNAPS0000071,RNA,polyU,2000-3200nt,-,poly RNA,3200
PMID: 29483269,RNAPS0000145,RNA,polyA,-,-,poly RNA,0
PMID: 29483269,RNAPS0000146,RNA,polyU,-,-,poly RNA,0
PMID: 29483269,RNAPS0000147,RNA,polyG,-,-,poly RNA,0
PMID: 29483269,RNAPS0000148,RNA,polyC,-,-,poly RNA,0
PMID: 30926670,RNAPS0000276,RNA,polyrA,-,-,poly RNA,0
PMID: 30926670,RNAPS0000277,RNA,polyrU,-,-,poly RNA,0
PMID: 30926670,RNAPS0000278,RNA,polyrC,-,-,poly RNA,0
