index,precision,recall,f1-score,support,fold
-1.0,0.0,0.0,0.0,0.0,1
1.0,1.0,0.75,0.8571428571428571,36.0,1
accuracy,0.75,0.75,0.75,0.75,1
macro avg,0.5,0.375,0.42857142857142855,36.0,1
weighted avg,1.0,0.75,0.8571428571428571,36.0,1
-1.0,0.0,0.0,0.0,0.0,2
1.0,1.0,0.8611111111111112,0.9253731343283582,36.0,2
accuracy,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,2
macro avg,0.5,0.4305555555555556,0.4626865671641791,36.0,2
weighted avg,1.0,0.8611111111111112,0.9253731343283582,36.0,2
-1.0,0.0,0.0,0.0,0.0,3
1.0,1.0,0.6388888888888888,0.7796610169491525,36.0,3
accuracy,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.6388888888888888,3
macro avg,0.5,0.3194444444444444,0.38983050847457623,36.0,3
weighted avg,1.0,0.6388888888888888,0.7796610169491525,36.0,3
-1.0,0.0,0.0,0.0,0.0,4
1.0,1.0,0.8857142857142857,0.9393939393939393,35.0,4
accuracy,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8857142857142857,4
macro avg,0.5,0.44285714285714284,0.46969696969696967,35.0,4
weighted avg,1.0,0.8857142857142857,0.9393939393939393,35.0,4
-1.0,0.0,0.0,0.0,0.0,5
1.0,1.0,0.9142857142857143,0.955223880597015,35.0,5
accuracy,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9142857142857143,5
macro avg,0.5,0.45714285714285713,0.4776119402985075,35.0,5
weighted avg,1.0,0.9142857142857143,0.955223880597015,35.0,5
