index,precision,recall,f1-score,support,fold
-1.0,0.0,0.0,0.0,0.0,1
1.0,1.0,0.72,0.8372093023255813,25.0,1
accuracy,0.72,0.72,0.72,0.72,1
macro avg,0.5,0.36,0.41860465116279066,25.0,1
weighted avg,1.0,0.72,0.8372093023255813,25.0,1
-1.0,0.0,0.0,0.0,0.0,2
1.0,1.0,0.72,0.8372093023255813,25.0,2
accuracy,0.72,0.72,0.72,0.72,2
macro avg,0.5,0.36,0.41860465116279066,25.0,2
weighted avg,1.0,0.72,0.8372093023255813,25.0,2
-1.0,0.0,0.0,0.0,0.0,3
1.0,1.0,0.7083333333333334,0.8292682926829268,24.0,3
accuracy,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,3
macro avg,0.5,0.3541666666666667,0.4146341463414634,24.0,3
weighted avg,1.0,0.7083333333333334,0.8292682926829268,24.0,3
-1.0,0.0,0.0,0.0,0.0,4
1.0,1.0,0.9583333333333334,0.9787234042553191,24.0,4
accuracy,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,4
macro avg,0.5,0.4791666666666667,0.48936170212765956,24.0,4
weighted avg,1.0,0.9583333333333334,0.9787234042553191,24.0,4
-1.0,0.0,0.0,0.0,0.0,5
1.0,1.0,0.75,0.8571428571428571,24.0,5
accuracy,0.75,0.75,0.75,0.75,5
macro avg,0.5,0.375,0.42857142857142855,24.0,5
weighted avg,1.0,0.75,0.8571428571428571,24.0,5
